1	CLASS_VAR_WORD	Var
1	CLASS_IDENTIFIER	param
1	CLASS_COMMA	,
1	CLASS_IDENTIFIER	a
1	CLASS_COMMA	,
1	CLASS_IDENTIFIER	b
1	CLASS_COMMA	,
1	CLASS_IDENTIFIER	c
1	CLASS_COMMA	,
1	CLASS_IDENTIFIER	meme
1	CLASS_COLON	:
1	CLASS_BOOLEAN_WORD	Boolean
1	CLASS_SEMICOLON	;
3	CLASS_BEGIN_WORD	Begin
4	CLASS_IDENTIFIER	meme
4	CLASS_EQUAL	=
4	CLASS_ONE	1
4	CLASS_OR	.OR.
4	CLASS_ONE	1
4	CLASS_SEMICOLON	;
5	CLASS_IDENTIFIER	a
5	CLASS_EQUAL	=
5	CLASS_ZERO	0
5	CLASS_SEMICOLON	;
6	CLASS_IDENTIFIER	b
6	CLASS_EQUAL	=
6	CLASS_NOT	.NOT.
6	CLASS_IDENTIFIER	meme
6	CLASS_SEMICOLON	;
7	CLASS_IDENTIFIER	c
7	CLASS_EQUAL	=
7	CLASS_IDENTIFIER	a
7	CLASS_XOR	.XOR.
7	CLASS_LBRACKET	(
7	CLASS_IDENTIFIER	meme
7	CLASS_AND	.AND.
7	CLASS_LBRACKET	(
7	CLASS_IDENTIFIER	b
7	CLASS_OR	.OR.
7	CLASS_ONE	1
7	CLASS_RBRACKET	)
7	CLASS_RBRACKET	)
7	CLASS_SEMICOLON	;
8	CLASS_END_WORD	End
8	CLASS_NULL	<End>
